NodeIP,NodeID,frequency,individuals,individuals_merge,mutation_overlap,sifting
192.168.5.10,0, 0, 0, 0, 0, 0
192.168.5.101,1, 1, 5, 0, 3, 0
192.168.5.102,2, 3, 4, 1, 1, 1
192.168.5.103,3, 0, 4, 0, 0, 0
192.168.5.104,4, 0, 4, 0, 2, 0
192.168.5.105,5, 0, 5, 0, 0, 0
192.168.5.106,6, 0, 4, 0, 0, 0
192.168.5.107,7, 0, 4, 0, 0, 0
192.168.5.108,8, 0, 4, 0, 0, 0
192.168.5.109,9, 0, 4, 0, 0, 0
192.168.5.110,10, 0, 4, 0, 0, 0
192.168.5.111,11, 3, 4, 0, 1, 0
192.168.5.112,12, 0, 4, 0, 0, 0

NodeIP, JobType, Count
192.168.5.10,frequency,0
192.168.5.10,individuals,0
192.168.5.10,individuals_merge,0
192.168.5.10,mutation_overlap,0
192.168.5.10,sifting,0
192.168.5.101,frequency,1
192.168.5.101,individuals,5
192.168.5.101,individuals_merge,0
192.168.5.101,mutation_overlap,3
192.168.5.101,sifting,0
192.168.5.102,frequency,3
192.168.5.102,individuals,4
192.168.5.102,individuals_merge,1
192.168.5.102,mutation_overlap,1
192.168.5.102,sifting,1
192.168.5.103,frequency,0
192.168.5.103,individuals,4
192.168.5.103,individuals_merge,0
192.168.5.103,mutation_overlap,0
192.168.5.103,sifting,0
192.168.5.104,frequency,0
192.168.5.104,individuals,4
192.168.5.104,individuals_merge,0
192.168.5.104,mutation_overlap,2
192.168.5.104,sifting,0
192.168.5.105,frequency,0
192.168.5.105,individuals,5
192.168.5.105,individuals_merge,0
192.168.5.105,mutation_overlap,0
192.168.5.105,sifting,0
192.168.5.106,frequency,0
192.168.5.106,individuals,4
192.168.5.106,individuals_merge,0
192.168.5.106,mutation_overlap,0
192.168.5.106,sifting,0
192.168.5.107,frequency,0
192.168.5.107,individuals,4
192.168.5.107,individuals_merge,0
192.168.5.107,mutation_overlap,0
192.168.5.107,sifting,0
192.168.5.108,frequency,0
192.168.5.108,individuals,4
192.168.5.108,individuals_merge,0
192.168.5.108,mutation_overlap,0
192.168.5.108,sifting,0
192.168.5.109,frequency,0
192.168.5.109,individuals,4
192.168.5.109,individuals_merge,0
192.168.5.109,mutation_overlap,0
192.168.5.109,sifting,0
192.168.5.110,frequency,0
192.168.5.110,individuals,4
192.168.5.110,individuals_merge,0
192.168.5.110,mutation_overlap,0
192.168.5.110,sifting,0
192.168.5.111,frequency,3
192.168.5.111,individuals,4
192.168.5.111,individuals_merge,0
192.168.5.111,mutation_overlap,1
192.168.5.111,sifting,0
192.168.5.112,frequency,0
192.168.5.112,individuals,4
192.168.5.112,individuals_merge,0
192.168.5.112,mutation_overlap,0
192.168.5.112,sifting,0
